District Code,State,White,Asian,Black,Hispanic,Other,18 to 29,30 to 49,50 to 69,70+,HS or less,Some college,Associate's,Bachelor's or greater,25k or less,25k to 50k,50k to 75k,75k to 100k,100k or greater
IN-08,IN,661160,10946,40583,23122,15752,98087,181056,195630,92003,239611,102346,58513,115187,54489,68977,56119,41312,82699
IN-09,IN,655649,17285,31119,31025,17674,106411,183038,192224,86763,228488,101177,48252,132744,50507,60596,53451,43447,89635
KS-01,KS,547576,18884,30857,115120,27465,121499,169043,165445,83616,171785,110850,45909,136857,51832,64300,55608,39719,78887
KS-02,KS,512507,18776,80284,94762,35806,97441,174283,178407,82743,194390,112540,44127,129271,51927,64595,53334,38223,77095
KS-03,KS,551145,43008,46248,73610,20898,91971,199014,176302,74662,110380,94628,37773,255551,26171,39613,44542,38579,140339
KS-04,KS,511347,31527,65886,99111,35026,97827,180022,174305,79289,176547,115470,43856,146586,45784,62797,52962,39102,83226
KY-01,KY,629590,8302,67417,28616,16826,99323,175360,194810,91891,251627,107263,47625,103454,67303,68008,54477,39074,64983
KY-02,KY,627377,19945,54016,31381,18056,98612,187776,190332,82052,237498,106010,47256,117022,54368,63469,50695,38534,81745
KY-03,KY,464663,31128,184725,57964,16060,104536,194390,184332,82355,182602,109998,43383,181834,55982,66156,56442,41681,94814
KY-04,KY,650045,12875,36784,31879,17589,92960,193526,193640,77463,205918,100936,47937,157596,43342,51280,46807,37657,106199
KY-05,KY,703679,4425,15860,11449,14163,90470,184612,201218,90542,303853,98513,41099,78560,89816,68761,47727,31315,48024
KY-06,KY,589410,22088,77257,46565,16961,118611,190302,177817,75975,185219,96322,42111,173473,54704,63075,52438,38438,91788
LA-01,LA,535770,24737,108188,90968,20898,91944,197644,200347,91312,195732,114781,38309,188762,49458,55318,48841,39154,109981
LA-02,LA,260930,26015,412387,74305,14086,101820,212004,190947,76401,237418,118299,36041,143015,79637,63570,47025,32153,77608
LA-03,LA,506088,17466,189998,43292,22189,102831,197615,189839,77219,262993,98619,36276,120161,65359,62726,47088,37622,84837
LA-04,LA,530753,14693,169212,39630,24075,102601,196276,184278,88138,247883,108506,40441,121974,68367,62855,45919,32916,79704
LA-05,LA,484005,15094,225122,38166,15079,114747,195259,181951,79346,244039,104599,32372,129494,64664,57902,45074,31374,83213
LA-06,LA,279156,13831,438212,36188,12901,114740,188910,180264,78768,251747,105094,32428,112163,85088,68493,46360,29167,63791
MA-01,MA,542205,23437,66014,145763,16110,100414,186084,214222,99323,222340,99288,53004,172395,58353,57695,49438,39428,111003
MA-02,MA,552952,65529,58670,86964,12599,108695,192017,204926,82890,160674,84643,43847,238367,41959,43028,39993,34527,136629
MA-03,MA,473766,71810,54868,170217,13006,101843,202311,204033,76366,196835,89086,42234,205240,38093,41018,41338,33053,135953
MA-04,MA,608591,61971,42292,47651,9252,93381,199830,209982,88163,162076,75085,40735,264519,35669,36167,34811,32419,159973
MA-05,MA,504362,113440,52735,81745,8693,109507,218516,186858,89226,130673,57765,29465,333286,34607,31935,31281,31877,176302
MA-06,MA,598923,45694,39093,84783,9909,87829,191923,222167,99311,159301,78997,45875,271347,35332,35886,34210,33904,163349
MA-07,MA,302053,102587,206558,171010,13215,180269,225107,146587,59667,179955,67034,26455,255568,61976,40542,36519,32758,131628
MA-08,MA,517990,83144,108481,53050,8787,112197,213537,196981,86741,161428,78353,39358,283788,38826,35269,36246,35031,168951
MA-09,MA,648055,14872,41155,46502,12905,86330,171405,233265,125793,186204,96673,53907,234301,38560,45974,44260,37854,147371
MD-01,MD,556865,26324,130577,43036,17058,92678,183268,213898,99507,206841,109409,42925,181824,37549,47293,43076,38399,132663
MD-02,MD,458101,56186,200303,46530,13367,96790,194049,199523,93378,159347,96105,38112,241540,32199,40885,43092,39451,142311
MD-03,MD,440188,99064,153103,69306,15763,91712,209731,194652,81424,128931,92221,36068,275201,20498,26335,32063,33526,173849
MD-04,MD,82172,46901,451323,193821,17148,108877,210513,181685,66008,213482,101486,33322,167382,31167,38038,44398,39134,117896
MD-05,MD,338267,35545,334313,55443,19857,93470,206438,209182,71522,163456,112686,40388,217485,19396,23812,30806,32107,171957
MD-06,MD,466291,77692,114854,103695,16205,96407,208581,198689,79879,186455,93922,42845,211508,32367,40376,39645,36481,138692
MD-07,MD,229512,35011,433275,65598,14686,115595,209075,181490,76091,227569,106244,32129,166570,71924,62142,52733,37486,90365
MD-08,MD,341867,126121,146611,152244,13689,86318,201742,196278,93505,110560,60545,26301,337236,23233,28185,29725,28420,174450
ME-01,ME,609297,16273,20868,15016,14111,80645,168553,198709,95781,157826,90119,48703,208437,38329,49013,48802,40149,113222
ME-02,ME,618967,9200,15436,11593,21010,76509,158763,203998,100051,213529,98091,54431,134825,58404,67246,51716,38426,74865
MI-01,MI,693536,7680,12086,15847,41436,88483,164502,238022,126609,223810,132704,62865,151081,61893,76437,63810,46816,81894
MI-02,MI,680601,7723,22794,36060,23167,99635,182813,213238,95613,242530,125739,54755,113941,49405,65396,55650,44260,79285
MI-03,MI,543947,29900,105280,82760,19036,121353,197584,175556,76993,168065,107213,48839,187499,44317,57525,52917,42550,100324
MI-04,MI,581638,25242,82080,66314,20683,116245,185752,186068,85129,186498,113676,46768,161469,46577,61707,53210,41997,98382
MI-05,MI,654497,10674,44448,40121,21569,91935,182406,213980,100280,233708,125843,57527,123899,48142,65712,58073,41631,89476
MI-06,MI,536084,92062,91635,38423,15849,120481,188757,192192,85410,116836,95697,41304,264800,37740,46301,44179,37419,140068
MI-07,MI,619440,31172,61098,43903,19213,117151,184152,201329,84993,155585,123084,53144,188820,42358,57128,52978,42596,114265
MI-08,MI,569036,12571,132430,41495,19779,98082,182029,208333,98829,216892,132469,61177,128987,61952,74520,57075,41958,84459
MI-09,MI,681480,15113,25456,29890,17699,86046,184118,227490,91753,204005,127550,60577,153102,37576,54628,48737,41890,119155
MI-10,MI,563998,54707,116066,23457,14620,102502,194811,207908,93578,207435,126288,56345,161924,45847,62948,53915,45344,109505
MI-11,MI,529713,76277,113756,41334,13483,108281,203016,205898,90906,135045,102903,43929,277341,41341,52564,47291,41872,145784
MI-12,MI,356248,20578,363437,25253,13381,105664,188723,188900,83810,203800,130623,47987,137109,67319,65882,50918,37975,75027
MI-13,MI,285433,28229,373556,79565,17798,113398,194116,185310,75918,248811,117529,38533,110379,84481,71109,50316,32790,62657
MN-01,MN,587883,25845,34801,51121,12784,95287,169569,175633,89445,170724,94945,62424,149861,40095,52690,49699,41446,102440
MN-02,MN,536985,48872,56813,54131,15534,84383,192589,175267,67328,121129,93875,59132,202203,21188,34512,36963,34177,139195
MN-03,MN,509159,72348,80728,37414,13246,72884,190631,187250,79704,107575,90916,49402,251434,24305,36196,39208,35799,147409
MN-04,MN,443863,108161,95983,52740,17819,100451,185446,166758,72207,129283,83545,42064,222666,34222,45117,44031,35160,119627
MN-05,MN,427555,54149,142909,72377,23797,130349,208197,145591,60852,120892,85702,38850,242329,45038,49099,49813,40505,118897
MN-06,MN,599561,28577,41293,26489,13732,87475,190577,175355,60854,142872,101534,61268,161272,22472,34508,38796,36421,127761
MN-07,MN,628503,9584,16383,37738,19935,80264,159456,188468,100323,188558,109029,73402,115614,46062,56178,51537,42694,91960
MN-08,MN,620371,10168,14736,13630,50191,84121,163943,201062,98028,180287,121654,65490,134461,45006,56680,52343,40451,96426
MO-01,MO,311031,36230,376003,34901,14875,117631,202153,184834,78641,183106,114255,40882,192132,71851,76885,61477,39667,88154
MO-02,MO,647653,43626,32977,24634,16028,83227,190259,205330,100274,133450,100388,42464,262083,29009,44874,45261,40037,146897
MO-03,MO,650510,20924,47096,25268,21408,107081,191718,195578,87052,187645,107425,46351,180446,39588,55216,51364,42965,110435
MO-04,MO,641000,13948,45589,37040,29559,103652,181715,192845,91845,232053,113582,45296,124213,51463,64862,54842,40999,80135
MO-05,MO,445232,25865,190606,86205,29361,111860,203417,180549,80305,190695,119966,40956,175203,59036,70108,57319,42376,96872
MO-06,MO,663432,12632,37873,29400,23628,94920,190593,192558,91016,234162,109117,42337,134330,48521,57240,50659,42300,90170
MO-07,MO,636951,16582,25660,47001,41378,109500,185978,186899,94152,216465,122482,41527,137429,60937,75677,59721,41411,72877
MO-08,MO,668098,9529,42819,18619,25068,95041,186273,202442,94900,267820,111331,45516,104002,65328,69933,54112,39139,68607
MS-01,MS,478666,9993,211581,28356,12489,99069,185602,177343,81163,221645,105072,51158,113610,61062,61378,47905,37227,73575
MS-02,MS,235188,5786,477741,16923,8881,99208,176287,184776,80781,230912,106255,49617,104044,86079,70884,44514,29540,46844
MS-03,MS,438840,11518,253094,20969,17464,100617,183124,176980,82290,199057,102430,51683,135562,67252,60650,45795,33122,73544
MS-04,MS,486383,17634,181197,38972,18130,99654,185919,180786,82840,206267,117496,56659,116855,64077,63695,49100,35205,69821
MT-01,MT,459816,9018,5120,22181,42135,80361,134751,140082,69223,119333,85641,34439,142030,38191,47275,40632,30263,67045
MT-02,MT,441502,7871,7617,23018,61544,64683,131276,142230,69967,133486,89875,37799,115597,35724,46833,40626,30528,66800
NC-01,NC,426065,11397,251298,42659,19295,85610,169380,213177,109445,234327,123303,55539,122556,67433,69947,53833,38551,75935
NC-02,NC,400547,52943,188408,96435,16038,117190,218868,166014,62125,116914,82791,40321,269582,35096,48860,47072,37241,127617
NC-03,NC,396511,17748,228142,92928,21297,135693,175361,163524,74246,202666,104364,54340,107108,64165,72556,53227,37661,63192
NC-04,NC,395824,91532,162837,85915,15989,102823,214422,167579,65217,101103,65186,37055,295485,33667,43226,41871,33365,135401
NC-05,NC,507354,20317,146858,59024,16949,101749,174112,198037,95146,219582,109036,51798,132938,67143,72489,51024,36936,73064
NC-06,NC,466399,31495,153914,80826,19480,96006,187773,189455,85075,201440,109486,51073,148044,51607,65153,51398,40600,83088
NC-07,NC,478702,15766,160874,61609,36448,95819,179695,200209,101007,184860,118303,58147,165722,59396,61678,54710,39758,89604
NC-08,NC,453271,31786,137312,69986,58710,87003,193407,188270,79784,186275,99294,49136,168683,42418,48632,40314,33666,100004
NC-09,NC,437637,20803,177432,94277,28528,107757,183711,181892,86564,193237,117810,56209,136974,52203,65358,54632,38634,79394
NC-10,NC,493055,24131,130655,84946,18699,95018,184489,196183,87158,199195,106458,53076,156248,52115,64427,52188,39820,87205
NC-11,NC,613832,10934,33066,57087,31164,84569,178259,208540,122794,199650,111512,56541,185064,58660,70872,54137,39590,81437
NC-12,NC,267498,48891,295073,131029,16843,133345,225021,150413,49251,145534,96395,41165,216976,44995,64404,58864,38539,100501
NC-13,NC,470899,13969,149850,97421,21357,87346,200396,192183,74349,191095,110429,61126,148540,40886,49554,47439,37219,99068
NC-14,NC,504554,33737,128834,64454,18439,86667,197692,195377,83946,186667,105753,55031,174970,47307,58669,47537,37170,99810
ND-01,ND,636160,18675,34499,33412,57863,120021,192616,173895,82930,165044,109820,72298,159094,48715,57933,55097,44389,113904
NE-01,NE,509174,25567,33246,71208,17490,102511,161043,147542,66151,131270,89696,50099,148087,33518,51026,45780,37037,90452
NE-02,NE,443338,35895,78430,83564,18406,88169,178590,143190,57227,122398,90320,36070,176994,35290,44004,42624,33148,101380
NE-03,NE,532175,7544,13097,79943,23433,75747,147029,165069,89563,176502,104382,53118,104349,45366,56996,50063,37133,72562
NH-01,NH,601086,22820,17875,29821,12827,91014,168292,198424,84621,158223,89005,51869,196484,30101,39634,41724,36624,126955
NH-02,NH,599563,24041,15123,29633,14433,83483,167189,202756,90256,174475,85661,48672,192964,31404,42383,40503,35018,120770
NJ-01,NJ,459821,48631,149917,115580,15249,103298,198862,198240,82572,209541,97267,44033,181736,41234,46282,43074,37648,124755
NJ-02,NJ,494194,35010,106165,134110,18181,90976,182148,217884,106433,247878,98966,43063,161291,44411,51328,47045,38054,118516
NJ-03,NJ,491248,75966,113155,87333,12667,92329,195879,214798,94041,166639,92377,42081,248421,25374,33622,35697,34673,158702
NJ-04,NJ,622261,25309,35144,79615,10080,86609,165107,202727,114531,184447,94036,41570,204918,33024,46610,41173,32557,135797
NJ-05,NJ,457907,133911,56183,125578,10080,83543,190646,217738,98348,140049,78889,35152,291749,24171,29847,30357,28333,170816
NJ-06,NJ,323138,157258,102923,189896,13262,108570,205574,195638,73812,190018,82470,36219,219179,34176,35192,35899,34783,136710
NJ-07,NJ,547950,74242,48691,94192,9712,80720,191372,227590,92353,141504,76310,36496,294546,22354,27847,31796,31024,178466
NJ-08,NJ,192335,99570,90811,394709,19700,118957,251885,156594,58049,236606,67235,24019,210061,50093,51170,43885,35478,120496
NJ-09,NJ,295557,77759,88057,321423,17005,104623,210034,185375,75544,238890,82245,31635,172600,39619,44236,39643,32285,116110
NJ-10,NJ,145060,55759,413874,164996,13403,109319,209448,178177,71033,224654,94880,34068,162476,59950,48771,44442,30745,97837
NJ-11,NJ,476809,103444,62124,127683,9710,87338,198952,206361,91298,128134,66998,30220,311716,21462,27881,29536,29522,174608
NJ-12,NJ,308278,160007,139348,166222,13435,93980,202788,197416,83292,168006,73333,31507,256875,32136,35476,32996,32628,145810
NM-01,NM,321344,29953,29771,288643,58696,92019,179593,185509,91157,150181,116151,46788,191138,57421,60485,51479,36934,92868
NM-02,NM,207762,13380,22640,423032,60566,105339,171734,156175,77902,207545,101601,41078,103491,61267,56483,44455,30589,58752
NM-03,NM,243846,12664,15998,299136,150365,88938,169742,175218,86412,199000,113841,40819,122275,60236,55998,44578,31109,70198
NV-01,NV,307272,79837,101089,279804,36223,97685,204801,181838,84582,233392,121790,41667,125970,53291,60730,49251,38338,82539
NV-02,NV,487839,48322,24723,179638,46402,102402,197627,201398,92983,203858,136859,51595,153841,40015,53111,51691,42798,117701
NV-03,NV,340837,164020,98106,164168,36785,102778,230960,189219,83445,191170,134311,49058,187370,40786,54570,52692,40393,114925
NV-04,NV,289370,61357,150071,267296,38884,108150,212415,180111,73891,244618,130261,43905,104822,44376,55499,48968,37124,84873
NY-01,NY,561390,47493,45929,115800,11789,93133,174386,223187,105745,162412,85927,50752,245650,22640,26480,31113,26982,165137
NY-02,NY,438240,31989,94649,212259,16295,104841,199949,208090,81173,218253,93921,54203,177358,21750,25877,26349,28220,145759
NY-03,NY,423148,194297,38098,116410,8892,86273,183334,217716,110950,152027,72145,39849,290500,22731,25492,25583,26168,166382
NY-04,NY,393800,63605,148651,171562,11404,99581,194452,203733,89099,176384,84064,43714,232855,19061,24319,25541,23131,154736
NY-05,NY,99311,136686,363560,159791,25739,110069,200813,213248,85800,254961,102849,45243,154425,35994,40307,36643,30909,104974
NY-06,NY,181840,361581,44171,193052,14773,87902,213562,198176,93549,237849,66720,43874,208428,44969,46567,42996,33974,105439
NY-07,NY,283418,113403,114242,279031,21567,139873,245635,138717,53689,212119,63764,30351,217365,50738,42833,37933,32524,119162
NY-08,NY,212838,80630,382856,125497,12734,109657,211293,183005,90823,241124,73058,41011,193020,74489,51006,39120,32800,98780
NY-09,NY,250805,83509,361627,88516,10975,108739,209238,172599,79102,214613,79091,36970,193739,55246,48507,42784,33239,99771
NY-10,NY,378250,187363,64363,148760,14934,115218,242623,153196,69718,152753,40695,18007,324829,51988,37148,30469,26978,163924
NY-11,NY,399675,171567,69607,142031,13663,94635,200326,197919,87299,227345,75722,37225,194753,39999,39273,37657,30821,118657
NY-12,NY,506527,126732,53070,87200,9107,114315,227146,165087,105357,62156,40966,16187,455305,46076,33519,32244,30183,234393
NY-13,NY,119776,49320,265285,406407,25899,139340,241030,180177,73621,256496,88599,31806,197720,93499,57206,46802,32253,81591
NY-14,NY,142925,103327,157196,406921,27762,110881,214823,161891,66851,254439,72052,39886,139980,56955,46905,41506,29992,84053
NY-15,NY,72234,33044,333282,407458,25043,113428,201836,169265,65114,266427,82143,38495,107872,92560,57645,42293,30405,57924
NY-16,NY,308656,61243,195980,223639,15690,94761,200465,194769,95127,172128,73037,37731,253893,42009,39550,33563,29657,143894
NY-17,NY,500513,47291,71329,154546,11486,92304,179459,204688,91313,151319,77676,37822,251169,24814,29036,27568,26935,150106
NY-18,NY,490342,31136,103260,140558,17727,103709,187209,203543,87254,193763,95134,54929,181547,40676,43262,40490,32351,127686
NY-19,NY,620742,33974,50801,52718,17977,111062,173572,213976,107657,208106,87361,62827,181277,55629,59749,53009,39630,103893
NY-20,NY,555447,53687,96916,55304,17285,116236,191555,198425,95269,168985,85677,63576,219285,47592,52084,50767,42653,129975
NY-21,NY,680797,10755,29447,27119,23727,100091,181275,217547,101134,242618,97438,70111,135756,54709,62201,56777,43880,95021
NY-22,NY,588441,37739,91789,43315,18400,104327,181969,201433,95626,191318,90715,67984,177341,55935,58832,52608,40014,103206
NY-23,NY,685424,12668,26871,28159,19785,86017,175897,226961,108226,219942,93667,75608,163182,54245,65177,54811,42106,104866
NY-24,NY,681306,9439,31199,32163,19126,96135,180672,220964,99974,236192,100542,74226,137026,50595,63692,58063,45144,98995
NY-25,NY,521860,40480,137835,73263,13460,105265,189935,198868,96466,168081,85832,64490,219904,53979,60587,52188,41772,113432
NY-26,NY,501202,50761,161860,56553,15142,114794,193820,196899,90122,193369,99803,61739,185236,70948,69241,56135,42859,95854
OH-01,OH,547539,37437,157029,29652,14909,113561,203247,187216,75520,171834,91518,42771,217953,57945,56046,46395,39256,119288
OH-02,OH,718703,8536,25109,11994,19197,99354,190557,210260,94231,275453,101036,50453,115464,64963,64788,51380,41695,83040
OH-03,OH,433335,53032,241098,49377,15685,136937,219408,161048,66857,158355,96812,35467,230646,53639,68391,56551,41456,108284
OH-04,OH,675247,14579,55694,21547,17544,95862,191548,203084,93164,252537,108114,52449,121852,48241,64364,56828,43523,95347
OH-05,OH,648723,11887,52474,58729,16853,103267,186256,206060,97547,243470,112193,53908,127816,55307,68260,58669,43159,90715
OH-06,OH,675162,6156,61524,25658,16731,94681,180300,216493,107519,291293,101744,51566,107228,63322,74461,59194,44583,77362
OH-07,OH,678794,29809,32769,28927,13190,86687,187577,219577,108614,195626,107144,48443,207934,36857,54452,56862,47284,125581
OH-08,OH,577386,34920,119943,37566,17131,97771,190927,201758,91083,205387,100123,43728,180654,42240,57920,52789,42097,113735
OH-09,OH,591847,13949,111971,54865,16807,97865,188184,206893,95500,223412,116915,57439,143430,59288,70635,59573,43953,94484
OH-10,OH,559662,26646,150861,31642,19397,109286,188364,196115,96830,192031,123592,53055,166546,59398,67653,56039,44750,98581
OH-11,OH,320534,28852,373227,61809,13441,118847,195299,196620,88772,213961,115345,43044,172519,97326,82467,58673,36757,78006
OH-12,OH,678141,29484,43073,16351,16919,90873,197195,204440,88093,221687,97834,47060,165643,41698,53415,47057,39043,113988
OH-13,OH,588657,32818,124949,21489,17303,107229,188805,205628,98582,204282,113262,45503,181884,60694,68248,54941,43344,102483
OH-14,OH,681902,10974,48068,24928,15827,93160,178864,224244,112277,251530,111574,48187,149839,50582,67713,57368,44130,102174
OH-15,OH,578503,38224,106703,46774,18636,101529,220901,187386,70076,221403,103533,42306,169917,43663,57785,57054,41596,108580
OK-01,OK,453790,33959,91759,109570,119150,107524,208406,180465,79254,188289,119645,47744,167995,49271,65189,55491,40087,99352
OK-02,OK,478909,9256,38478,44111,233878,99356,187846,201692,103750,272630,118568,47044,103502,69210,75365,56053,36428,64979
OK-03,OK,476024,16917,54778,160404,99731,115164,198697,173948,81208,250946,109771,38776,107345,62610,69466,56501,37396,68889
OK-04,OK,506779,28547,83688,79628,108928,122840,201668,179130,82462,214261,123511,41243,139636,52053,66563,55990,42097,87425
OK-05,OK,491686,34935,113995,78218,87170,109443,209405,182089,81909,170721,121066,42322,196260,49441,61698,53537,42329,105291
OR-01,OR,462669,87668,24784,105954,30987,100333,214674,164272,69786,124742,105740,41099,233719,34331,43117,40922,38576,134903
OR-02,OR,532626,15049,10477,102458,46479,81214,167399,187931,105887,202439,136139,48861,116193,51820,60400,50297,38724,76391
OR-03,OR,455231,69838,54453,99967,35978,92859,226830,162371,64680,147761,112145,43187,204130,35765,44849,43789,37192,113679
OR-04,OR,558236,30355,14067,62629,41013,106345,160724,185868,105128,155340,134719,47721,158261,56182,61586,52386,39065,86257
OR-05,OR,556406,33808,13615,71089,30279,82748,189766,182273,89633,145253,125811,48537,186738,33576,44548,44951,38120,115343
OR-06,OR,470990,38578,17296,146660,40699,98414,187575,164982,78362,151829,120029,43585,165118,35130,44532,45382,33077,105910
PA-01,PA,610806,55699,40390,46406,10073,85377,184271,222808,98949,181012,84087,45521,236549,25488,36350,39244,35210,154452
PA-02,PA,286229,81027,216157,188767,13233,106150,209883,173992,68598,263204,81554,32704,138234,72749,62180,46192,35285,78572
PA-03,PA,246457,61017,413200,45569,12330,145849,211923,158218,72445,183991,92294,29985,217625,84745,62148,52861,37592,96325
PA-04,PA,582314,54031,75527,44623,9537,87341,191843,210138,98132,167471,75821,41136,258941,27923,36739,40401,36701,153144
PA-05,PA,444427,61977,205169,48208,10562,99953,198105,189239,82183,180049,84932,39961,213347,41332,50133,41190,34859,123189
PA-06,PA,529533,45534,61429,125169,13778,94485,191702,196166,86286,163643,71836,35972,247619,31649,38815,38768,33750,143128
PA-07,PA,524516,29717,66126,146250,12776,96474,188351,201636,96847,228992,87513,51181,165592,39473,55672,48390,39116,111326
PA-08,PA,570830,20186,69281,100601,13238,93279,181353,213156,104069,249372,96565,54515,143724,54682,62688,51598,41327,90939
PA-09,PA,669737,10160,27688,44306,12365,90044,177679,214592,108720,290253,81448,52417,121052,51585,64892,55333,42469,90919
PA-10,PA,544794,41079,101805,72462,13289,95954,194850,198344,92596,222887,84162,50505,177614,41279,54921,54638,43982,112847
PA-11,PA,625709,21199,41832,70434,11682,94384,182340,194990,99340,248461,80099,42029,154277,32725,48802,51907,43538,115393
PA-12,PA,557398,40854,133410,21121,11320,116035,191948,196041,99631,184693,87478,57961,217401,64889,66815,53055,40160,110932
PA-13,PA,685539,8131,28330,27923,12906,89030,176261,211722,111154,296063,82275,49447,114696,50924,67141,55839,43870,88013
PA-14,PA,691321,7699,35308,12146,12086,90455,174233,223702,113831,265392,86340,58118,144988,59190,68242,54583,43473,94761
PA-15,PA,691812,18712,20569,16775,12504,108020,173344,208401,105186,276584,73121,51479,129865,55564,67062,56068,40757,80117
PA-16,PA,665554,14306,46299,20408,12803,91153,178063,214872,104679,247279,83299,53718,156587,57660,66405,54571,40521,93250
PA-17,PA,626441,32398,72514,18447,11214,80329,194624,214235,106166,170592,88611,58743,243207,45269,57352,53915,42609,129165
RI-01,RI,350196,25544,63733,101746,12573,76617,138190,140165,65827,150550,63954,28571,139725,37914,37514,30683,26504,82934
RI-02,RI,403854,22906,36192,80355,13115,77085,135524,149299,66876,138596,74946,34842,140100,30943,31192,32954,29470,92111
SC-01,SC,498807,20720,137077,59591,16892,88417,186394,187598,97745,150847,105215,48908,212187,34992,45679,47080,40730,119644
SC-02,SC,446768,21602,198945,51434,18232,93289,188396,185744,80411,171242,104461,50607,175178,46165,59655,50452,40311,93719
SC-03,SC,524457,11378,137366,42512,16546,93189,172188,192380,94007,225634,93050,56333,126633,60119,65171,50119,36315,74325
SC-04,SC,468620,24037,148194,77653,16613,101101,189027,178781,81132,180934,97516,47841,175227,47267,60297,52128,40142,90665
SC-05,SC,468920,18837,188617,39825,17753,87431,189387,187089,83914,206289,105852,52536,139676,51663,57813,50252,35346,89090
SC-06,SC,304061,15872,358538,45619,13980,121678,181752,176378,79549,212061,98578,46588,138094,74265,69691,51849,33450,64788
SC-07,SC,466919,11220,201791,36204,16832,83747,166472,212489,110473,243751,111503,54805,121775,63487,70079,53117,35489,67731
SD-01,SD,705583,18489,26307,38741,100484,117036,213991,216406,101978,219124,119000,72002,178861,53262,71810,62664,52841,110605
TN-01,TN,674765,9239,24950,37332,20548,94978,180769,215469,109463,268024,114998,44776,124562,70402,76278,56639,39028,70386
TN-02,TN,630610,18436,55734,41560,21084,110687,189444,197409,95517,210109,103017,45794,174462,54021,65391,53758,41199,96409
TN-03,TN,597466,15574,88094,44410,23252,97036,192001,203668,99152,225144,121806,49362,149546,56966,66779,53248,41075,89985
TN-04,TN,582497,20160,84304,61910,20845,109112,197921,187232,77309,244945,106055,38631,125502,47130,61300,55085,41619,81210
TN-05,TN,531224,40160,102908,79120,16553,96101,216037,180305,74006,150168,91935,38948,239823,32758,46949,46481,39567,130146
TN-06,TN,596648,12965,79753,59323,20794,103727,202979,197678,87037,248794,109430,38050,147897,56586,67529,57183,42970,86188
TN-07,TN,533197,22558,138302,57129,21059,124726,206362,176148,67012,205430,102557,42514,166574,46429,59795,54464,41611,94457
TN-08,TN,559984,20101,144048,27811,15647,87011,186349,200772,98032,238112,104250,35490,150443,56846,60284,48533,37475,90624
TN-09,TN,193855,19490,478021,70592,12662,121428,197910,174827,64088,217824,115258,33621,134861,72990,72147,53298,32834,67583
TX-01,TX,456512,12466,149986,131370,22298,102480,184486,185136,88484,221448,127446,44470,113539,56942,60520,50336,36671,76632
TX-02,TX,377278,56906,101564,219272,24078,93041,221419,167626,60199,146308,107694,39856,204757,25981,37168,41159,34108,132699
TX-03,TX,415627,91019,94200,149552,25161,90131,223023,173490,61368,151714,100918,40526,208216,27150,38346,38245,34504,127157
TX-04,TX,440182,130942,80321,94705,25243,89596,225428,178602,74352,129889,96731,39135,258765,31380,39269,42901,32435,142953
TX-05,TX,362141,29658,134474,228669,25212,103858,209306,173308,68818,223599,117756,39634,124717,38721,55712,49720,35755,89903
TX-06,TX,359233,44858,105042,243041,28339,107863,207857,172582,63742,202600,108225,39015,147051,29672,47611,46791,35932,104711
TX-07,TX,215919,146116,133284,269732,18893,138435,240043,154716,48409,169650,72248,29612,247958,44860,58291,49108,33033,118348
TX-08,TX,297571,57751,142464,261846,24119,112392,210624,166548,56149,186985,107506,39002,154180,35756,51216,45359,34789,98965
TX-09,TX,192417,14619,80038,476484,23603,112259,203653,155947,52789,277971,92770,33639,61665,43191,57764,46115,33246,67641
TX-10,TX,458377,52840,79772,161528,20729,126928,199332,178389,73463,167994,93721,29954,212965,47759,51457,45145,32806,115387
TX-11,TX,362807,38266,58335,296966,22853,102594,215663,160372,66399,192279,116187,37892,152695,40381,51471,46099,37590,116895
TX-12,TX,381284,34453,82995,254786,24987,110592,213607,164015,62933,207200,100618,38408,151748,38882,51147,49222,36351,102134
TX-13,TX,444351,25329,64153,215470,28903,120740,196451,168035,75383,212126,118847,39885,125441,51450,62759,48635,38041,83040
TX-14,TX,385771,53395,132276,184950,20400,93967,212870,183210,67165,187338,117323,49189,156466,39847,43786,41249,33427,117277
TX-15,TX,117450,9596,14885,622979,12688,113933,192503,142357,66825,252847,90881,26677,85629,60286,54188,41496,26132,55180
TX-16,TX,90505,17087,34815,628547,21866,125442,196831,156769,66799,209345,105743,41490,124509,61201,60015,48348,30421,64174
TX-17,TX,422960,49557,94581,187315,24263,106649,210456,170227,73173,182912,111664,46582,163011,44555,52600,48775,34933,103964
TX-18,TX,98096,57190,343660,272100,18350,118863,216491,157313,58110,220291,94029,29203,149484,59386,61004,50392,33532,76349
TX-19,TX,384927,18348,61084,293914,22243,131694,188122,157039,71645,215575,104229,36709,115837,56327,61856,49040,37460,78022
TX-20,TX,123589,30499,87960,531165,26127,124577,217999,156840,61496,240933,115293,40078,104056,64650,71402,53334,35600,60956
TX-21,TX,416457,34159,40779,265655,27273,121654,195955,182282,88440,142661,115373,41743,221958,40076,54992,51655,41055,118900
TX-22,TX,329709,113903,93682,222036,18148,89260,225284,176166,62859,147827,101290,38555,221977,25766,34654,35039,32579,136247
TX-23,TX,233629,31647,42885,458207,20376,102724,208813,148833,63136,177055,96811,41155,159300,36561,42464,40605,31972,99946
TX-24,TX,459976,86658,66748,136164,25111,92676,212117,187123,65910,112763,98741,36285,267341,22938,36931,40616,37239,152675
